Country or Area,Year,Age of mother,Value
Greenland,2006,43,2
Greenland,2006,44,2
Greenland,2006,45 +,1
Greenland,2005,Total,887
Greenland,2005,0 - 14,0
Greenland,2005,15 - 19,148
Greenland,2005,20 - 24,277
Greenland,2005,25 - 29,194
Greenland,2005,30 - 34,147
Greenland,2005,35 - 39,100
Greenland,2005,40 - 44,19
Greenland,2005,45 - 49,2
Greenland,2005,50 +,0
Greenland,2004,Total,893
Greenland,2004,15 - 19,127
Greenland,2004,20 - 24,271
Greenland,2004,25 - 29,221
Greenland,2004,30 - 34,155
Greenland,2004,35 - 39,103
Greenland,2004,40 - 44,16
Greenland,2004,45 - 49,0
Greenland,2004,50 +,0
Greenland,2003,Total,895
Greenland,2003,0 - 14,1
Greenland,2003,15 - 19,100
Greenland,2003,20 - 24,262
Greenland,2003,25 - 29,203
Greenland,2003,30 - 34,179
Greenland,2003,35 - 39,128
Greenland,2003,40 - 44,20
Greenland,2003,45 - 49,2
Greenland,2002,Total,940
Greenland,2002,0 - 14,1
Greenland,2002,15 - 19,102
Greenland,2002,20 - 24,272
Greenland,2002,25 - 29,225
Greenland,2002,30 - 34,208
Greenland,2002,35 - 39,109
Greenland,2002,40 - 44,22
Greenland,2002,Unknown,1
Greenland,2001,Total,937
Greenland,2001,15 - 19,123
Greenland,2001,20 - 24,281
Greenland,2001,25 - 29,195
Greenland,2001,30 - 34,201
Greenland,2001,35 - 39,113
Greenland,2001,40 - 44,22
Greenland,2001,45 - 49,1
Greenland,2001,Unknown,1
Greenland,2000,Total,885
Greenland,2000,15 - 19,117
Greenland,2000,20 - 24,254
Greenland,2000,25 - 29,199
Greenland,2000,30 - 34,200
Greenland,2000,35 - 39,99
Greenland,2000,40 - 44,15
Greenland,2000,45 - 49,1
Greenland,1999,Total,947
Greenland,1999,0 - 14,6
Greenland,1999,15 - 19,77
Greenland,1999,20 - 24,246
Greenland,1999,25 - 29,197
Greenland,1999,30 - 34,257
Greenland,1999,35 - 39,130
Greenland,1999,40 - 44,31
Greenland,1999,45 - 49,2
Greenland,1999,50 +,1
Greenland,1998,Total,986
Greenland,1998,0 - 14,2
Greenland,1998,15 - 19,88
Greenland,1998,20 - 24,248
Greenland,1998,25 - 29,208
Greenland,1998,30 - 34,244
Greenland,1998,35 - 39,163
Greenland,1998,40 - 44,28
Greenland,1998,45 - 49,5
Greenland,1998,45 +,5
Greenland,1997,Total,1100
Greenland,1997,0 - 14,0
Greenland,1997,15 - 19,92
Greenland,1997,20 - 24,281
Greenland,1997,25 - 29,266
Greenland,1997,30 - 34,297
Greenland,1997,35 - 39,128
Greenland,1997,40 - 44,34
Greenland,1997,45 - 49,1
Greenland,1997,45 +,1
Greenland,1997,Unknown,1
Greenland,1996,Total,1066
Greenland,1996,0 - 14,3
Greenland,1996,15 - 19,135
Greenland,1996,20 - 24,241
Greenland,1996,25 - 29,324
Greenland,1996,30 - 34,253
Greenland,1996,35 - 39,87
Greenland,1996,40 - 44,19
Greenland,1996,40 +,19
Greenland,1996,Unknown,4
Greenland,1995,Total,1120
Greenland,1995,0 - 14,1
Greenland,1995,15 - 19,122
Greenland,1995,20 - 24,254
Greenland,1995,25 - 29,373
Greenland,1995,30 - 34,269
Greenland,1995,35 - 39,83
Greenland,1995,40 - 44,18
Greenland,1995,40 +,18
Greenland,1994,Total,1156
Greenland,1994,0 - 14,1
Greenland,1994,15 - 19,133
Greenland,1994,20 - 24,268
Greenland,1994,25 - 29,415
Greenland,1994,30 - 34,233
Greenland,1994,35 - 39,89
Greenland,1994,40 - 44,17
Greenland,1994,40 +,17
Greenland,1993,Total,1180
Greenland,1993,0 - 14,1
Greenland,1993,15 - 19,148
Greenland,1993,20 - 24,324
Greenland,1993,25 - 29,410
Greenland,1993,30 - 34,210
Greenland,1993,35 - 39,79
Greenland,1993,40 +,8
Greenland,1992,Total,1237
Greenland,1992,0 - 14,0
Greenland,1992,15 - 19,143
Greenland,1992,20 - 24,357
Greenland,1992,25 - 29,405
Greenland,1992,30 - 34,247
Greenland,1992,35 - 39,75
Greenland,1992,40 - 44,8
Greenland,1992,45 +,2
Greenland,1991,Total,1192
Greenland,1991,0 - 19,139
Greenland,1991,20 - 24,402
Greenland,1991,25 - 29,367
Greenland,1991,30 - 34,204
Greenland,1991,35 - 39,70
Greenland,1991,40 - 44,9
Greenland,1991,45 +,1
Greenland,1990,Total,1257
Greenland,1990,0 - 14,0
Greenland,1990,15 - 19,123
Greenland,1990,20 - 24,446
Greenland,1990,25 - 29,404
Greenland,1990,30 - 34,198
Greenland,1990,35 - 39,75
Greenland,1990,40 +,11
Greenland,1989,Total,1210
Greenland,1989,0 - 14,3
Greenland,1989,15 - 19,143
Greenland,1989,20 - 24,444
Greenland,1989,25 - 29,364
Greenland,1989,30 - 34,182
Greenland,1989,35 - 39,64
Greenland,1989,40 - 44,8
Greenland,1989,45 - 49,2
Greenland,1989,50 +,0
Greenland,1989,Unknown,0
Greenland,1987,Total,1090
Greenland,1987,0 - 14,1
Greenland,1987,15 - 19,152
Greenland,1987,20 - 24,401
Greenland,1987,25 - 29,315
Greenland,1987,30 - 34,159
Greenland,1987,35 - 39,54
Greenland,1987,40 +,8
Greenland,1987,Unknown,0
Greenland,1986,Total,1070
Greenland,1986,0 - 14,2
Greenland,1986,15 - 19,206
Greenland,1986,20 - 24,360
Greenland,1986,25 - 29,272
Greenland,1986,30 - 34,156
Greenland,1986,35 - 39,59
Greenland,1986,40 - 44,14
Greenland,1986,45 - 49,1
Greenland,1986,50 +,0
Greenland,1986,Unknown,0
Greenland,1985,Total,1140
Greenland,1985,0 - 14,0
Greenland,1985,15 - 19,213
Greenland,1985,20 - 24,404
Greenland,1985,25 - 29,288
Greenland,1985,30 - 34,170
Greenland,1985,35 - 39,50
Greenland,1985,40 - 44,13
Greenland,1985,45 - 49,2
Greenland,1985,50 +,0
Greenland,1985,Unknown,0
Greenland,1984,Total,1054
Greenland,1984,0 - 14,1
Greenland,1984,15 - 19,195
Greenland,1984,20 - 24,354
Greenland,1984,25 - 29,289
Greenland,1984,30 - 34,147
Greenland,1984,35 - 39,53
Greenland,1984,40 - 44,14
Greenland,1984,45 - 49,1
Greenland,1984,50 +,0
Greenland,1984,Unknown,0
Greenland,1983,Total,985
Greenland,1983,0 - 14,2
Greenland,1983,15 - 19,198
Greenland,1983,20 - 24,339
Greenland,1983,25 - 29,252
Greenland,1983,30 - 34,123
Greenland,1983,35 - 39,53
Greenland,1983,40 - 44,18
Greenland,1983,45 - 49,0
Greenland,1983,50 +,0
Greenland,1983,Unknown,0
Greenland,1982,Total,1066
Greenland,1982,0 - 14,4
Greenland,1982,15 - 19,215
Greenland,1982,20 - 24,357
Greenland,1982,25 - 29,277
Greenland,1982,30 - 34,142
Greenland,1982,35 - 39,57
Greenland,1982,40 - 44,14
Greenland,1982,45 - 49,0
Greenland,1982,50 +,0
Greenland,1982,Unknown,0
Greenland,1981,Total,1051
Greenland,1981,0 - 14,1
Greenland,1981,15 - 19,215
Greenland,1981,20 - 24,348
Greenland,1981,25 - 29,287
Greenland,1981,30 - 34,135
Greenland,1981,35 - 39,55
Greenland,1981,40 - 44,10
Greenland,1981,45 - 49,0
Greenland,1981,50 +,0
Greenland,1981,Unknown,0
Greenland,1980,Total,1028
Greenland,1980,0 - 14,3
Greenland,1980,15 - 19,203
Greenland,1980,20 - 24,311
Greenland,1980,25 - 29,303
Greenland,1980,30 - 34,133
Greenland,1980,35 - 39,57
Greenland,1980,40 - 44,17
Greenland,1980,45 - 49,1
Greenland,1980,50 +,0
Greenland,1980,Unknown,0
Greenland,1979,Total,900
Greenland,1979,0 - 14,3
Greenland,1979,15 - 19,181
Greenland,1979,20 - 24,294
Greenland,1979,25 - 29,249
Greenland,1979,30 - 34,108
Greenland,1979,35 - 39,52
Greenland,1979,40 - 44,13
Greenland,1979,45 - 49,0
Greenland,1979,50 +,0
Greenland,1979,Unknown,0
Greenland,1978,Total,870
Greenland,1978,0 - 14,2
Greenland,1978,15 - 19,168
Greenland,1978,20 - 24,278
Greenland,1978,25 - 29,244
Greenland,1978,30 - 34,112
Greenland,1978,35 - 39,55
Greenland,1978,40 - 44,11
Greenland,1978,45 - 49,0
Greenland,1978,50 +,0
Greenland,1978,Unknown,0
Greenland,1977,Total,918
Greenland,1977,0 - 14,0
Greenland,1977,15 - 19,176
Greenland,1977,20 - 24,324
Greenland,1977,25 - 29,226
Greenland,1977,30 - 34,133
Greenland,1977,35 - 39,46
Greenland,1977,40 - 44,12
Greenland,1977,45 - 49,1
Greenland,1977,50 +,0
Greenland,1977,Unknown,0
Greenland,1976,Total,859
Greenland,1976,0 - 14,3
Greenland,1976,15 - 19,180
Greenland,1976,20 - 24,286
Greenland,1976,25 - 29,213
Greenland,1976,30 - 34,118
Greenland,1976,35 - 39,45
Greenland,1976,40 - 44,13
Greenland,1976,45 - 49,1
Greenland,1976,50 +,0
Greenland,1976,Unknown,0
Greenland,1975,Total,868
Greenland,1975,0 - 14,2
Greenland,1975,15 - 19,168
Greenland,1975,20 - 24,297
Greenland,1975,25 - 29,221
Greenland,1975,30 - 34,125
Greenland,1975,35 - 39,39
Greenland,1975,40 - 44,13
Greenland,1975,45 - 49,2
Greenland,1975,50 +,1
Greenland,1975,Unknown,0
Greenland,1974,Total,866
Greenland,1974,0 - 14,2
Greenland,1974,15 - 19,149
Greenland,1974,20 - 24,277
Greenland,1974,25 - 29,238
Greenland,1974,30 - 34,127
Greenland,1974,35 - 39,55
Greenland,1974,40 - 44,17
Greenland,1974,45 - 49,1
Greenland,1974,50 +,0
Greenland,1974,Unknown,0
Greenland,1973,Total,940
Greenland,1973,0 - 14,2
Greenland,1973,15 - 19,164
Greenland,1973,20 - 24,291
Greenland,1973,25 - 29,263
Greenland,1973,30 - 34,145
Greenland,1973,35 - 39,58
Greenland,1973,40 - 44,15
Greenland,1973,45 - 49,2
Greenland,1973,50 +,0
Greenland,1973,Unknown,0
Greenland,1972,Total,948
Greenland,1972,0 - 14,1
Greenland,1972,15 - 19,202
Greenland,1972,20 - 24,277
Greenland,1972,25 - 29,254
Greenland,1972,30 - 34,139
Greenland,1972,35 - 39,53
Greenland,1972,40 - 44,19
Greenland,1972,45 - 49,3
Greenland,1972,50 +,0
Greenland,1972,Unknown,0
Greenland,1971,Total,1027
Greenland,1971,0 - 14,3
Greenland,1971,15 - 19,190
Greenland,1971,20 - 24,302
Greenland,1971,25 - 29,296
Greenland,1971,30 - 34,146
Greenland,1971,35 - 39,59
Greenland,1971,40 - 44,29
Greenland,1971,45 - 49,1
Greenland,1971,50 +,0
Greenland,1971,Unknown,1
Greenland,1970,Total,1144
Greenland,1970,0 - 14,1
Greenland,1970,15 - 19,206
Greenland,1970,20 - 24,342
Greenland,1970,25 - 29,314
Greenland,1970,30 - 34,155
Greenland,1970,35 - 39,82
Greenland,1970,40 - 44,39
Greenland,1970,45 - 49,2
Greenland,1970,50 +,0
Greenland,1970,Unknown,3
Greenland,1969,Total,1311
Greenland,1969,0 - 14,0
Greenland,1969,15 - 19,241
Greenland,1969,20 - 24,383
Greenland,1969,25 - 29,356
Greenland,1969,30 - 34,188
Greenland,1969,35 - 39,100
Greenland,1969,40 - 44,41
Greenland,1969,45 - 49,2
Greenland,1969,50 +,0
Greenland,1969,Unknown,0
Greenland,1968,Total,1577
Greenland,1968,0 - 14,3
Greenland,1968,15 - 19,194
Greenland,1968,20 - 24,500
Greenland,1968,25 - 29,423
Greenland,1968,30 - 34,263
Greenland,1968,35 - 39,141
Greenland,1968,40 - 44,47
Greenland,1968,45 - 49,4
Greenland,1968,50 +,0
Greenland,1968,Unknown,2
Greenland,1967,Total,1688
Greenland,1967,0 - 14,0
Greenland,1967,15 - 19,188
Greenland,1967,20 - 24,560
Greenland,1967,25 - 29,448
Greenland,1967,30 - 34,274
Greenland,1967,35 - 39,150
Greenland,1967,40 - 44,55
Greenland,1967,45 - 49,9
Greenland,1967,50 +,0
Greenland,1967,Unknown,4
Greenland,1965,Total,1741
Greenland,1965,0 - 14,2
Greenland,1965,15 - 19,219
Greenland,1965,20 - 24,539
Greenland,1965,25 - 29,422
Greenland,1965,30 - 34,297
Greenland,1965,35 - 39,196
Greenland,1965,40 - 44,57
Greenland,1965,45 - 49,3
Greenland,1965,50 +,0
Greenland,1965,Unknown,6
Grenada,2000,Total,1883
Grenada,2000,0 - 14,9
Grenada,2000,15 - 19,310
Grenada,2000,20 - 24,490
Grenada,2000,25 - 29,452
Grenada,2000,30 - 34,339
Grenada,2000,35 - 39,208
Grenada,2000,40 - 44,73
Grenada,2000,45 +,2
Grenada,1999,Total,1845
Grenada,1999,0 - 14,9
Grenada,1999,15 - 19,297
Grenada,1999,20 - 24,490
Grenada,1999,25 - 29,414
Grenada,1999,30 - 34,339
Grenada,1999,35 - 39,223
Grenada,1999,40 - 44,63
Grenada,1999,45 +,3
Grenada,1999,Unknown,7
Grenada,1998,Total,1938
Grenada,1998,0 - 14,18
Grenada,1998,15 - 19,297
Grenada,1998,20 - 24,524
Grenada,1998,25 - 29,446
Grenada,1998,30 - 34,355
Grenada,1998,35 - 39,234
Grenada,1998,40 - 44,52
Grenada,1998,45 +,3
Grenada,1998,Unknown,9
Grenada,1997,Total,2191
Grenada,1997,0 - 14,10
Grenada,1997,15 - 19,373
Grenada,1997,20 - 24,568
Grenada,1997,25 - 29,491
Grenada,1997,30 - 34,411
Grenada,1997,35 - 39,238
Grenada,1997,40 - 44,83
Grenada,1997,45 +,1
Grenada,1997,Unknown,16
Grenada,1978,Total,2521
Grenada,1978,0 - 14,11
Grenada,1978,15 - 19,677
Grenada,1978,20 - 24,847
Grenada,1978,25 - 29,493
Grenada,1978,30 - 34,272
Grenada,1978,35 - 39,124
Grenada,1978,40 - 44,47
Grenada,1978,45 - 49,3
Grenada,1978,50 +,0
Grenada,1978,Unknown,47
Grenada,1969,Total,2757
Grenada,1969,0 - 14,9
Grenada,1969,15 - 19,645
Grenada,1969,20 - 24,873
Grenada,1969,25 - 29,521
Grenada,1969,30 - 34,346
Grenada,1969,35 - 39,236
Grenada,1969,40 - 44,85
Grenada,1969,45 - 49,10
Grenada,1969,50 +,0
Grenada,1969,Unknown,32
Grenada,1968,Total,2994
Grenada,1968,0 - 14,12
Grenada,1968,15 - 19,645
Grenada,1968,20 - 24,884
Grenada,1968,25 - 29,525
Grenada,1968,30 - 34,438
Grenada,1968,35 - 39,312
Grenada,1968,40 - 44,89
Grenada,1968,45 - 49,14
Grenada,1968,50 +,0
Grenada,1968,Unknown,75
Grenada,1967,Total,2816
Grenada,1967,0 - 14,6
Grenada,1967,15 - 19,614
Grenada,1967,20 - 24,747
Grenada,1967,25 - 29,515
Grenada,1967,30 - 34,357
Grenada,1967,35 - 39,265
Grenada,1967,40 - 44,88
Grenada,1967,45 - 49,15
Grenada,1967,50 +,0
Grenada,1967,Unknown,209
Grenada,1966,Total,2820
Grenada,1966,0 - 14,12
Grenada,1966,15 - 19,581
Grenada,1966,20 - 24,745
Grenada,1966,25 - 29,561
Grenada,1966,30 - 34,389
Grenada,1966,35 - 39,299
Grenada,1966,40 - 44,95
Grenada,1966,45 - 49,9
Grenada,1966,50 +,0
Grenada,1966,Unknown,129
Grenada,1965,Total,2968
Grenada,1965,0 - 14,6
Grenada,1965,15 - 19,581
Grenada,1965,20 - 24,729
Grenada,1965,25 - 29,590
Grenada,1965,30 - 34,433
Grenada,1965,35 - 39,290
Grenada,1965,40 - 44,97
Grenada,1965,45 - 49,14
Grenada,1965,50 +,0
Grenada,1965,Unknown,228
Guadeloupe,2003,Total,7047
Guadeloupe,2003,0 - 14,7
Guadeloupe,2003,15 - 19,431
Guadeloupe,2003,20 - 24,1148
Guadeloupe,2003,25 - 29,1815
Guadeloupe,2003,30 - 34,2001
Guadeloupe,2003,35 - 39,1280
Guadeloupe,2003,40 - 44,352
Guadeloupe,2003,45 +,13
Guadeloupe,2002,Total,6995
Guadeloupe,2002,0 - 14,13
Guadeloupe,2002,15 - 19,409
Guadeloupe,2002,20 - 24,1114
Guadeloupe,2002,25 - 29,1976
Guadeloupe,2002,30 - 34,1880
Guadeloupe,2002,35 - 39,1252
Guadeloupe,2002,40 - 44,332
Guadeloupe,2002,45 +,19
Guadeloupe,2001,Total,7503
Guadeloupe,2001,0 - 14,12
Guadeloupe,2001,15 - 19,501
Guadeloupe,2001,20 - 24,1195
Guadeloupe,2001,25 - 29,2136
Guadeloupe,2001,30 - 34,2070
Guadeloupe,2001,35 - 39,1277
Guadeloupe,2001,40 - 44,302
Guadeloupe,2001,45 +,10
Guadeloupe,2000,Total,7653
Guadeloupe,2000,0 - 14,9
Guadeloupe,2000,15 - 19,535
Guadeloupe,2000,20 - 24,1282
Guadeloupe,2000,25 - 29,2161
Guadeloupe,2000,30 - 34,2098
Guadeloupe,2000,35 - 39,1255
Guadeloupe,2000,40 - 44,303
Guadeloupe,2000,45 - 49,9
Guadeloupe,2000,50 +,1
Guadeloupe,1999,Total,7341
Guadeloupe,1999,0 - 14,16
Guadeloupe,1999,15 - 19,497
Guadeloupe,1999,20 - 24,1292
Guadeloupe,1999,25 - 29,2125
Guadeloupe,1999,30 - 34,1937
Guadeloupe,1999,35 - 39,1164
Guadeloupe,1999,40 - 44,299
Guadeloupe,1999,45 +,11
Guadeloupe,1991,Total,7547
Guadeloupe,1991,0 - 14,14
Guadeloupe,1991,15 - 19,667
Guadeloupe,1991,20 - 24,1832
Guadeloupe,1991,25 - 29,2444
Guadeloupe,1991,30 - 34,1639
Guadeloupe,1991,35 - 39,753
Guadeloupe,1991,40 - 44,171
Guadeloupe,1991,45 +,8
Guadeloupe,1991,Unknown,19
Guadeloupe,1986,Total,6374
Guadeloupe,1986,0 - 14,0
Guadeloupe,1986,15 - 19,3
Guadeloupe,1986,20 - 24,202
Guadeloupe,1986,25 - 29,868
Guadeloupe,1986,30 - 34,930
Guadeloupe,1986,35 - 39,549
Guadeloupe,1986,40 - 44,267
Guadeloupe,1986,45 - 49,90
Guadeloupe,1986,50 +,41
Guadeloupe,1986,Unknown,3424
Guadeloupe,1985,Total,6750
Guadeloupe,1985,0 - 14,17
Guadeloupe,1985,15 - 19,750
Guadeloupe,1985,20 - 24,1970
Guadeloupe,1985,25 - 29,1975
Guadeloupe,1985,30 - 34,1275
Guadeloupe,1985,35 - 39,582
Guadeloupe,1985,40 - 44,162
Guadeloupe,1985,45 - 49,14
Guadeloupe,1985,50 +,1
Guadeloupe,1985,Unknown,4
Guadeloupe,1984,Total,6671
Guadeloupe,1984,0 - 14,6
Guadeloupe,1984,15 - 19,710
Guadeloupe,1984,20 - 24,2013
Guadeloupe,1984,25 - 29,1966
Guadeloupe,1984,30 - 34,1253
Guadeloupe,1984,35 - 39,560
Guadeloupe,1984,40 - 44,153
Guadeloupe,1984,45 - 49,7
Guadeloupe,1984,50 +,1
Guadeloupe,1984,Unknown,2
Guadeloupe,1980,Total,6425
Guadeloupe,1980,0 - 19,1198
Guadeloupe,1980,20 - 24,1963
Guadeloupe,1980,25 - 29,1739
Guadeloupe,1980,30 - 34,1019
Guadeloupe,1980,35 - 39,392
Guadeloupe,1980,40 - 44,100
Guadeloupe,1980,45 +,9
Guadeloupe,1980,Unknown,5
Guadeloupe,1979,Total,5818
Guadeloupe,1979,0 - 19,1083
Guadeloupe,1979,20 - 24,1770
Guadeloupe,1979,25 - 29,1552
Guadeloupe,1979,30 - 34,940
Guadeloupe,1979,35 - 39,362
Guadeloupe,1979,40 - 44,104
Guadeloupe,1979,45 +,7
Guadeloupe,1979,Unknown,0
Guadeloupe,1978,Total,5640
Guadeloupe,1978,0 - 19,1055
Guadeloupe,1978,20 - 24,1718
Guadeloupe,1978,25 - 29,1549
Guadeloupe,1978,30 - 34,809
Guadeloupe,1978,35 - 39,390
Guadeloupe,1978,40 - 44,112
Guadeloupe,1978,45 +,7
Guadeloupe,1978,Unknown,0
Guadeloupe,1975,Total,8254
Guadeloupe,1975,0 - 19,1113
Guadeloupe,1975,20 - 24,2453
Guadeloupe,1975,25 - 29,2199
Guadeloupe,1975,30 - 34,1366
Guadeloupe,1975,35 - 39,735
Guadeloupe,1975,40 - 44,348
Guadeloupe,1975,45 +,40
Guadeloupe,1975,50 +,0
Guadeloupe,1975,Unknown,0
Guadeloupe,1970,Total,9397
Guadeloupe,1970,0 - 14,21
Guadeloupe,1970,15 - 19,1128
Guadeloupe,1970,20 - 24,2691
Guadeloupe,1970,25 - 29,2273
Guadeloupe,1970,30 - 34,1631
Guadeloupe,1970,35 - 39,1082
Guadeloupe,1970,40 - 44,500
Guadeloupe,1970,45 - 49,57
Guadeloupe,1970,50 +,1
Guadeloupe,1970,Unknown,13
Guadeloupe,1969,Total,9724
Guadeloupe,1969,0 - 14,15
Guadeloupe,1969,15 - 19,1095
Guadeloupe,1969,20 - 24,2781
Guadeloupe,1969,25 - 29,2379
Guadeloupe,1969,30 - 34,1733
Guadeloupe,1969,35 - 39,1096
Guadeloupe,1969,40 - 44,554
Guadeloupe,1969,45 - 49,58
Guadeloupe,1969,50 +,4
Guadeloupe,1969,Unknown,9
Guadeloupe,1967,Total,10116
Guadeloupe,1967,0 - 14,19
Guadeloupe,1967,15 - 19,992
Guadeloupe,1967,20 - 24,2482
Guadeloupe,1967,25 - 29,2531
Guadeloupe,1967,30 - 34,2050
Guadeloupe,1967,35 - 39,1306
Guadeloupe,1967,40 - 44,655
Guadeloupe,1967,45 - 49,61
Guadeloupe,1967,50 +,2
Guadeloupe,1967,Unknown,18
Guadeloupe,1966,Total,10879
Guadeloupe,1966,0 - 14,12
Guadeloupe,1966,15 - 19,1032
Guadeloupe,1966,20 - 24,2560
Guadeloupe,1966,25 - 29,2680
Guadeloupe,1966,30 - 34,2305
Guadeloupe,1966,35 - 39,1496
Guadeloupe,1966,40 - 44,691
Guadeloupe,1966,45 - 49,78
Guadeloupe,1966,50 +,2
Guadeloupe,1966,Unknown,23
Guadeloupe,1965,Total,10605
Guadeloupe,1965,0 - 14,21
Guadeloupe,1965,15 - 19,941
Guadeloupe,1965,20 - 24,2463
Guadeloupe,1965,25 - 29,2718
Guadeloupe,1965,30 - 34,2110
Guadeloupe,1965,35 - 39,1555
Guadeloupe,1965,40 - 44,683
Guadeloupe,1965,45 - 49,80
Guadeloupe,1965,50 +,3
Guadeloupe,1965,Unknown,31
Guam,2004,Total,3427
Guam,2004,14-Oct,2
Guam,2004,15 - 19,352
Guam,2004,20 - 24,887
Guam,2004,25 - 29,939
Guam,2004,30 - 34,738
Guam,2004,35 - 39,395
Guam,2004,40 - 44,102
Guam,2004,45 - 49,10
Guam,2004,50 +,0
Guam,2004,Unknown,2
Guam,2003,Total,3297
Guam,2003,0 - 14,3
Guam,2003,14-Oct,3
Guam,2003,15 - 19,355
Guam,2003,20 - 24,883
Guam,2003,25 - 29,854
Guam,2003,30 - 34,717
Guam,2003,35 - 39,389
Guam,2003,40 - 44,87
Guam,2003,45 - 49,6
Guam,2003,50 +,1
Guam,2003,Unknown,2
Guam,2002,Total,3222
Guam,2002,0 - 14,1
Guam,2002,14-Oct,1
Guam,2002,15 - 19,347
Guam,2002,20 - 24,863
Guam,2002,25 - 29,850
Guam,2002,30 - 34,683
Guam,2002,35 - 39,378
Guam,2002,40 - 44,88
Guam,2002,45 - 49,8
Guam,2002,50 +,0
Guam,2002,Unknown,4
Guam,2001,Total,3583
Guam,2001,0 - 14,5
Guam,2001,15 - 19,357
Guam,2001,20 - 24,949
Guam,2001,25 - 29,984
Guam,2001,30 - 34,770
Guam,2001,35 - 39,415
Guam,2001,40 - 44,100
Guam,2001,45 - 49,3
Guam,2001,50 +,0
Guam,2001,Unknown,0
Guam,1999,Total,4037
Guam,1999,0 - 14,6
Guam,1999,15 - 19,462
Guam,1999,20 - 24,1150
Guam,1999,25 - 29,1150
Guam,1999,30 - 34,812
Guam,1999,35 - 39,367
Guam,1999,40 - 44,87
Guam,1999,45 - 49,3
Guam,1999,50 +,0
Guam,1999,Unknown,0
Guam,1992,Total,4214
Guam,1992,0 - 14,10
Guam,1992,15 - 19,614
Guam,1992,20 - 24,1285
Guam,1992,25 - 29,1227
Guam,1992,30 - 34,706
Guam,1992,35 - 39,302
Guam,1992,40 - 44,67
Guam,1992,45 +,3
Guam,1991,Total,3921
Guam,1991,0 - 14,16
Guam,1991,15 - 19,544
Guam,1991,20 - 24,1233
Guam,1991,25 - 29,1152
Guam,1991,30 - 34,648
Guam,1991,35 - 39,268
Guam,1991,40 - 44,52
Guam,1991,45 - 49,2
Guam,1991,50 +,1
Guam,1991,Unknown,5
Guam,1990,Total,3850
Guam,1990,0 - 14,7
Guam,1990,15 - 19,533
Guam,1990,20 - 24,1239
Guam,1990,25 - 29,1077
Guam,1990,30 - 34,662
Guam,1990,35 - 39,269
Guam,1990,40 - 44,59
Guam,1990,45 +,4
Guam,1989,Total,3565
Guam,1989,0 - 14,11
Guam,1989,15 - 19,470
Guam,1989,20 - 24,1195
Guam,1989,25 - 29,1033
Guam,1989,30 - 34,568
Guam,1989,35 - 39,234
Guam,1989,40 - 44,46
Guam,1989,45 - 49,5
Guam,1989,50 +,1
Guam,1989,Unknown,2
Guam,1988,Total,3548
Guam,1988,0 - 14,9
Guam,1988,15 - 19,457
Guam,1988,20 - 24,1169
Guam,1988,25 - 29,1055
Guam,1988,30 - 34,588
Guam,1988,35 - 39,210
Guam,1988,40 - 44,51
Guam,1988,45 - 49,3
Guam,1988,50 +,2
Guam,1988,Unknown,4
Guam,1986,Total,3309
Guam,1986,0 - 14,3
Guam,1986,15 - 19,459
Guam,1986,20 - 24,1144
Guam,1986,25 - 29,920
Guam,1986,30 - 34,531
Guam,1986,35 - 39,208
Guam,1986,40 - 44,42
Guam,1986,45 - 49,2
Guam,1986,50 +,0
Guam,1986,Unknown,0
Guam,1985,Total,3197
Guam,1985,0 - 14,3
Guam,1985,15 - 19,433
Guam,1985,20 - 24,1102
Guam,1985,25 - 29,875
Guam,1985,30 - 34,520
Guam,1985,35 - 39,220
Guam,1985,40 - 44,41
Guam,1985,45 - 49,1
Guam,1985,50 +,0
Guam,1985,Unknown,2
Guam,1984,Total,3067
Guam,1984,0 - 14,7
Guam,1984,15 - 19,458
Guam,1984,20 - 24,1017
Guam,1984,25 - 29,829
Guam,1984,30 - 34,514
Guam,1984,35 - 39,207
Guam,1984,40 - 44,25
Guam,1984,45 - 49,2
Guam,1984,50 +,0
Guam,1984,Unknown,8
Guam,1983,Total,3184
Guam,1983,0 - 14,5
Guam,1983,15 - 19,423
Guam,1983,20 - 24,1083
Guam,1983,25 - 29,881
Guam,1983,30 - 34,541
Guam,1983,35 - 39,213
Guam,1983,40 - 44,35
Guam,1983,45 - 49,3
Guam,1983,50 +,0
Guam,1983,Unknown,0
Guam,1982,Total,2992
Guam,1982,0 - 14,11
Guam,1982,15 - 19,403
Guam,1982,20 - 24,1039
Guam,1982,25 - 29,808
Guam,1982,30 - 34,523
Guam,1982,35 - 39,169
Guam,1982,40 - 44,35
Guam,1982,45 - 49,2
Guam,1982,50 +,0
Guam,1982,Unknown,2
Guam,1981,Total,3008
Guam,1981,0 - 14,5
Guam,1981,15 - 19,426
Guam,1981,20 - 24,1004
Guam,1981,25 - 29,860
Guam,1981,30 - 34,514
Guam,1981,35 - 39,156
Guam,1981,40 - 44,39
Guam,1981,45 - 49,3
Guam,1981,50 +,0
Guam,1981,Unknown,1
Guam,1980,Total,3003
Guam,1980,0 - 14,5
Guam,1980,15 - 19,379
Guam,1980,20 - 24,988
Guam,1980,25 - 29,895
Guam,1980,30 - 34,518
Guam,1980,35 - 39,153
Guam,1980,40 - 44,60
Guam,1980,45 - 49,5
Guam,1980,50 +,0
Guam,1980,Unknown,0
Guam,1979,Total,2950
